Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Proporcion de las empresas que usan computador/laptop,Proporcion de las empresas que usan tablets o telefonos inteligentes,Proporcion de las empresa que usan internet,Proporcion de las empresas que se conectan a internet a traves de red contratada,Proporcion de las empresas con intranet,Proporcion de las empresas con LAN,Proporcion de las empresas con extranet, Infraestructura ,Porcentaje de los empleados q usan internet para sus labores,Porcentaje de las empresas que usan internet para email,Porcentaje de las empresas que usan internet para Voip,Porcentaje de las empresas que usan internet para mensaje,Porcentaje de las empresas que usan internet para capacitacion, Procesamiento ,Porcentaje de los negocios que usan internet para obtener informacion sobre bienes y servicios,Porcentaje de los negocios que usan internet para obtener informacion sobre el gobierno,"Porcentaje de los negocios que usan internet para interactuar (tramites, PQR) con el gobierno",Porcentaje de los negocios que usan internet para acceso a bancos,Porcentaje de los negocios que usan internet para compras,Porcentaje de las compras realizadas a traves de comercio electronico,Porcentaje de las empresas q realizan los pagos a proveedores o colaboradores a traves de internet,Porcentaje de las empresas que usan internet para contratar empleados,Facilidad para acceder a presonas capacitadas (4 o 5), Insumos ,Porcentaje de los negocios que usan internet para atencion a los clientes,Porcentaje de los negocios que usan internet para ventas,Porcentaje de las VENTAS realizadas a traves de comercio electronico sobre valor de ventas,Porcentaje de los negocios que reciben ordenes por internet,Porcentaje de los negocios que distribuyen productos en linea,Porcentaje de distribucion fisico vs digital,Porcentaje de empresas con medios de pago electronico para los clientes,Porcentaje de las empresas que tiene pagina WEB,Porcentaje de las empresas que tiene presencia en redes sociales,Porcentaje delas empresas que tienen aplicaciones moviles, Distribucion , Calculo del Indice 
2015,Total,Total,Total,Total,Total,65%,47%,62%,47%,18%,19%,16%,45,25%,50%,10%,32%,10%,25,34%,23%,15%,24%,21%,18%,7%,10%,10%,19,39%,9%,6%,9%,6%,6%,20%,25%,29%,8%,15,26
2015,Total,Total,Total,Total,Micros,57%,42%,55%,37%,12%,12%,12%,  38 ,23%,44%,6%,28%,6%,  21 ,28%,17%,7%,18%,16%,16%,6%,6%,6%,  14 ,33%,6%,6%,6%,4%,4%,15%,17%,24%,7%,  11 ,  21 
2015,Total,Total,Total,Total,Pymes,96%,62%,85%,82%,27%,27%,27%,  65 ,23%,68%,8%,42%,8%,  28 ,42%,32%,32%,28%,29%,29%,8%,8%,8%,  26 ,51%,6%,6%,6%,7%,7%,39%,45%,36%,7%,  20 ,  35 
2015,Total,Total,Total,Total,Grandes,100%,73%,100%,100%,89%,100%,50%,  88 ,62%,100%,84%,62%,80%,  78 ,98%,96%,93%,99%,74%,11%,10%,72%,80%,  69 ,91%,65%,8%,65%,37%,37%,46%,87%,87%,17%,  57 ,  73 
2015,Total,Sector Primario,Total,Total,Total,44%,27%,38%,24%,8%,8%,8%,  27 ,10.00%,31%,4%,19%,4%,  13 ,19%,21%,11%,13%,10%,10%,4%,4%,4%,  11 ,23%,5%,5%,5%,3%,3%,10%,3%,20%,9%,  8 ,  15 
2015,Total,Sector Primario,Total,Total,Micros,42%,27%,37%,23%,8%,8%,8%,  26 ,10%,29%,4%,18%,4%,  12 ,18%,20%,11%,12%,10%,10%,4%,4%,4%,  10 ,22%,5%,5%,5%,3%,3%,10%,2%,19%,9%,  7 ,  14 
2015,Total,Sector Primario,Total,Total,Pymes,100%,51%,97%,93%,31%,31%,31%,  68 ,10%,77%,10%,48%,10%,  27 ,48%,67%,21%,32%,37%,37%,10%,10%,10%,  31 ,58%,27%,27%,27%,7%,7%,16%,41%,31%,4%,  27 ,  38 
2015,Total,Sector Primario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Primario,Agricultura y ganadería,Total,Total,81%,45%,69%,55%,18%,18%,18%,  50 ,10.00%,55%,7%,34%,7%,  20 ,34%,24%,11%,23%,19%,19%,7%,7%,7%,  18 ,41%,12%,12%,12%,5%,5%,14%,26%,25%,7%,  16 ,  26 
2015,Total,Sector Primario,Agricultura y ganadería,Total,Micros,76%,44%,61%,44%,15%,15%,15%,  45 ,10%,49%,6%,30%,6%,  18 ,30%,11%,7%,20%,14%,14%,6%,6%,6%,  14 ,36%,7%,7%,7%,5%,5%,13%,22%,24%,8%,  13 ,  22 
