Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con una estrategia digital específica ,Porcentaje de las empresas abiertas a una transformación digital ,Porcentaje de las empresas que desarrollaron la estrategia y ya esta implementada,Porcentaje de las empresas que desarrollaron la estrategia y esta en proceso de implementacion en 2 años ,Porcentaje de las emrpesas que estan midiendo la transformación digital ,Porcentaje de las empresas que han definido indicadores de desempeño, ESTRATEGIA ,Quien dirigue la estrategia digital de la empresa? ,Quién es el responsable de desarrollar la vision empresarial de los negocios digitales de su organización? , GOBERNANZA ,Porcentaje de las empresas cuyos empleados estan preparados para una estrategia digital ,Porcentaje de las empresas cuyos RRHH son adecuados/suficientes para desarrollar la transfromacion digital , CAPITAL HUMANO , Calculo del Indice 
2017,Total,Total,Total,Total,Total,10.8%,21.7%,4.6%,7.4%,13.6%,6.3%,  10 ,30.3%,31.2%,  31 ,11.2%,20.1%,  16 ,  19 
2017,Total,Total,Total,Total,Micros,10.0%,19.3%,4.1%,5.6%,12.1%,3.7%,  9 ,28.9%,29.8%,  29 ,10.8%,19.2%,  15 ,  18 
2017,Total,Total,Total,Total,Pymes,10.6%,22.8%,5.3%,7.6%,13.7%,8.1%,  11 ,29.5%,30.4%,  30 ,10.4%,19.5%,  15 ,  19 
2017,Total,Total,Total,Total,Grandes,21.7%,41.4%,4.4%,27.2%,32.5%,25.7%,  23 ,54.0%,55.5%,  55 ,22.2%,36.3%,  29 ,  36 
2017,Total,Sector Primario,Total,Total,Total,6.9%,11.6%,2.7%,0.7%,8.1%,4.6%,  6 ,17.6%,18.1%,  18 ,3.9%,9.1%,  7 ,  10 
2017,Total,Sector Primario,Total,Total,Micros,3.9%,10.2%,2.8%,1.4%,6.6%,2.1%,  4 ,16.3%,16.7%,  17 ,5.3%,9.2%,  7 ,  9 
2017,Total,Sector Primario,Total,Total,Pymes,7.8%,11.0%,1.7%,0.1%,8.0%,5.7%,  6 ,15.7%,16.5%,  16 ,1.3%,6.6%,  4 ,  9 
2017,Total,Sector Primario,Total,Total,Grandes,17.9%,23.2%,8.9%,0.0%,17.3%,12.1%,  14 ,36.2%,36.2%,  36 ,12.1%,24.6%,  18 ,  23 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Total,4.8%,9.6%,1.9%,0.8%,6.5%,4.1%,  5 ,17.4%,17.7%,  18 ,3.5%,9.8%,  7 ,  10 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Micros,2.3%,8.1%,1.2%,1.7%,6.0%,2.7%,  3 ,17.3%,17.3%,  17 ,4.4%,11.7%,  8 ,  10 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Pymes,4.2%,8.1%,1.3%,0.0%,4.9%,3.9%,  4 ,13.6%,14.2%,  14 ,1.0%,5.2%,  3 ,  7 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Grandes,20.8%,25.6%,8.9%,0.0%,18.7%,12.7%,  16 ,39.9%,39.9%,  40 ,12.7%,26.4%,  20 ,  25 
2017,Total,Sector Primario,Minas y canteras,Total,Total,15.0%,19.4%,6.0%,0.3%,14.3%,6.5%,  11 ,18.4%,19.7%,  19 ,5.8%,6.4%,  6 ,  12 
2017,Total,Sector Primario,Minas y canteras,Total,Micros,9.4%,17.7%,8.8%,0.0%,8.8%,0.0%,  8 ,12.9%,14.7%,  14 ,8.8%,0.0%,  4 ,  9 
2017,Total,Sector Primario,Minas y canteras,Total,Pymes,22.2%,22.4%,3.0%,0.6%,20.3%,12.6%,  15 ,24.3%,25.3%,  25 ,2.5%,11.9%,  7 ,  16 
2017,Total,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Total,Total,Total,10.6%,24.9%,5.3%,6.9%,18.2%,8.6%,  12 ,34.4%,36.4%,  35 ,13.4%,24.3%,  19 ,  22 
2017,Total,Sector Secundario,Total,Total,Micros,8.1%,23.4%,5.8%,4.2%,16.2%,3.9%,  10 ,37.9%,38.6%,  38 ,15.4%,26.8%,  21 ,  23 
2017,Total,Sector Secundario,Total,Total,Pymes,11.6%,24.8%,5.4%,8.3%,17.5%,10.5%,  12 ,31.7%,34.6%,  33 ,11.3%,22.4%,  17 ,  21 
