Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa, Porcentaje de las empresas que tienen un área encargada de las TIC , GOBERNANZA , Porcentaje de las empresas que tienen presupuesto para las TIC , Porcentaje del presupuesto total asignado a las TIC , PRESUPUESTO , Porcentaje de las empresas que invierten en capacitar al personal , Porcentaje de las empresas que considera que es importante que su empresa domine las TIC , CAPACITIACIÓN , Porcentaje de las empresas que cuentan con un protocolo para dar respuesta a incidentes digitales , Porcentaje de las empresas que han estimado los costos de incidentes digitales , Porcentaje de las empresas que tienen un área encargada de la seguridad informática , SEGURIDAD , Porcentaje de las empresas que consideran que el acceso a las TIC es importante , Porcentaje de las empresas que han realizado innovaciones en su empresa usando las TIC , INNOVACIÓN , Calculo del Indice 
2017,Total,Total,Total,Total,Total,  33.9 ,  33.9 ,  26.3 ,  13.4 ,  22.4 ,  28.4 ,  63.5 ,  42.5 ,  16.5 ,  6.1 ,  17.4 ,  14.7 ,  66.7 ,  27.7 ,  43.3 ,  31.4 
2017,Total,Total,Total,Total,Micros,  23.5 ,  23.5 ,  17.0 ,  9.3 ,  14.7 ,  16.4 ,  57.1 ,  32.7 ,  7.9 ,  3.4 ,  8.4 ,  7.1 ,  59.8 ,  19.3 ,  35.5 ,  22.7 
2017,Total,Total,Total,Total,Pymes,  56.1 ,  56.1 ,  46.3 ,  23.0 ,  39.3 ,  57.1 ,  78.5 ,  65.7 ,  34.6 ,  11.1 ,  36.2 ,  30.4 ,  83.0 ,  46.1 ,  60.8 ,  50.4 
2017,Total,Total,Total,Total,Grandes,  91.4 ,  91.4 ,  76.8 ,  32.4 ,  63.5 ,  80.3 ,  93.5 ,  85.6 ,  67.0 ,  24.8 ,  69.1 ,  59.2 ,  96.9 ,  71.7 ,  81.7 ,  76.3 
2017,Total,Sector Primario,Total,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Total,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Total,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Agricultura y ganadería,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Agricultura y ganadería,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Agricultura y ganadería,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Agricultura y ganadería,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Minas y canteras,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Minas y canteras,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Minas y canteras,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Primario,Minas y canteras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Total,Total,Total,  35.7 ,  35.7 ,  31.8 ,  17.6 ,  27.5 ,  35.0 ,  61.5 ,  45.6 ,  22.8 ,  9.3 ,  20.9 ,  19.5 ,  67.1 ,  27.9 ,  43.6 ,  34.4 
2017,Total,Sector Secundario,Total,Total,Micros,  18.2 ,  18.2 ,  18.3 ,  11.2 ,  16.2 ,  17.8 ,  49.4 ,  30.5 ,  6.5 ,  3.6 ,  5.2 ,  5.5 ,  54.3 ,  20.0 ,  33.7 ,  20.8 
2017,Total,Sector Secundario,Total,Total,Pymes,  44.1 ,  44.1 ,  40.5 ,  24.1 ,  35.6 ,  47.3 ,  68.9 ,  55.9 ,  28.1 ,  10.8 ,  28.2 ,  24.7 ,  76.8 ,  31.9 ,  49.9 ,  42.0 
2017,Total,Sector Secundario,Total,Total,Grandes,  94.6 ,  94.6 ,  67.3 ,  23.9 ,  54.3 ,  74.6 ,  94.6 ,  82.6 ,  88.7 ,  33.9 ,  75.0 ,  73.6 ,  94.6 ,  53.6 ,  70.0 ,  75.0 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Total,  36.6 ,  36.6 ,  31.6 ,  17.1 ,  27.2 ,  35.2 ,  60.5 ,  45.3 ,  22.3 ,  10.1 ,  20.8 ,  19.4 ,  67.6 ,  28.0 ,  43.9 ,  34.5 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Micros,  18.8 ,  18.8 ,  18.8 ,  11.7 ,  16.6 ,  17.5 ,  49.3 ,  30.2 ,  5.3 ,  4.1 ,  5.5 ,  5.1 ,  56.0 ,  19.0 ,  33.8 ,  20.9 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Pymes,  44.8 ,  44.8 ,  39.3 ,  22.9 ,  34.4 ,  48.0 ,  66.4 ,  55.4 ,  27.4 ,  12.6 ,  27.1 ,  24.3 ,  75.6 ,  33.8 ,  50.5 ,  41.9 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Grandes,  94.3 ,  94.3 ,  65.3 ,  20.5 ,  51.9 ,  73.1 ,  94.3 ,  81.6 ,  88.0 ,  29.9 ,  73.5 ,  72.0 ,  94.3 ,  50.9 ,  68.2 ,  73.6 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,  36.6 ,  36.6 ,  31.6 ,  17.1 ,  27.2 ,  35.2 ,  60.5 ,  45.3 ,  22.3 ,  10.1 ,  20.8 ,  19.4 ,  67.6 ,  28.0 ,  43.9 ,  34.5 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,  18.8 ,  18.8 ,  18.8 ,  11.7 ,  16.6 ,  17.5 ,  49.3 ,  30.2 ,  5.3 ,  4.1 ,  5.5 ,  5.1 ,  56.0 ,  19.0 ,  33.8 ,  20.9 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,  44.8 ,  44.8 ,  39.3 ,  22.9 ,  34.4 ,  48.0 ,  66.4 ,  55.4 ,  27.4 ,  12.6 ,  27.1 ,  24.3 ,  75.6 ,  33.8 ,  50.5 ,  41.9 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,  94.3 ,  94.3 ,  65.3 ,  20.5 ,  51.9 ,  73.1 ,  94.3 ,  81.6 ,  88.0 ,  29.9 ,  73.5 ,  72.0 ,  94.3 ,  50.9 ,  68.2 ,  73.6 
2017,Total,Sector Secundario,Servicios Publicos,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Servicios Publicos,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Servicios Publicos,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Servicios Publicos,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Secundario,Construccion,Total,Total,  29.3 ,  29.3 ,  33.3 ,  21.2 ,  29.7 ,  33.6 ,  67.7 ,  47.3 ,  26.0 ,  4.0 ,  21.7 ,  20.3 ,  64.2 ,  26.7 ,  41.7 ,  33.6 
2017,Total,Sector Secundario,Construccion,Total,Micros,  13.9 ,  13.9 ,  15.5 ,  7.5 ,  13.1 ,  20.0 ,  50.6 ,  32.2 ,  14.3 ,  -   ,  3.3 ,  8.1 ,  43.1 ,  26.5 ,  33.2 ,  20.1 
2017,Total,Sector Secundario,Construccion,Total,Pymes,  40.0 ,  40.0 ,  47.1 ,  31.2 ,  42.3 ,  42.9 ,  83.8 ,  59.2 ,  32.4 ,  -   ,  35.1 ,  26.7 ,  84.3 ,  20.5 ,  46.0 ,  42.9 
2017,Total,Sector Secundario,Construccion,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Total,Total,Total,  33.8 ,  33.8 ,  25.8 ,  13.0 ,  22.0 ,  27.8 ,  63.7 ,  42.2 ,  16.0 ,  5.8 ,  17.0 ,  14.2 ,  66.6 ,  27.7 ,  43.2 ,  31.1 
2017,Total,Sector Terciario,Total,Total,Micros,  23.9 ,  23.9 ,  17.0 ,  9.2 ,  14.6 ,  16.3 ,  57.5 ,  32.8 ,  7.9 ,  3.4 ,  8.6 ,  7.2 ,  60.1 ,  19.3 ,  35.6 ,  22.8 
2017,Total,Sector Terciario,Total,Total,Pymes,  58.3 ,  58.3 ,  47.4 ,  22.8 ,  40.0 ,  58.9 ,  80.2 ,  67.5 ,  35.8 ,  11.1 ,  37.7 ,  31.4 ,  84.2 ,  48.7 ,  62.9 ,  52.0 
2017,Total,Sector Terciario,Total,Total,Grandes,  90.8 ,  90.8 ,  78.8 ,  34.2 ,  65.4 ,  81.5 ,  93.3 ,  86.2 ,  62.5 ,  22.9 ,  67.9 ,  56.2 ,  97.3 ,  75.4 ,  84.2 ,  76.5 
2017,Total,Sector Terciario,Comercio,Total,Total,  27.4 ,  27.4 ,  19.9 ,  10.0 ,  16.9 ,  21.6 ,  56.7 ,  35.7 ,  11.8 ,  4.0 ,  13.3 ,  10.7 ,  61.0 ,  22.0 ,  37.6 ,  25.7 
2017,Total,Sector Terciario,Comercio,Total,Micros,  20.3 ,  20.3 ,  14.0 ,  7.8 ,  12.1 ,  14.3 ,  53.1 ,  29.8 ,  6.8 ,  3.1 ,  7.5 ,  6.3 ,  56.2 ,  16.5 ,  32.4 ,  20.2 
2017,Total,Sector Terciario,Comercio,Total,Pymes,  56.5 ,  56.5 ,  43.6 ,  19.8 ,  36.5 ,  52.8 ,  71.5 ,  60.3 ,  31.2 ,  7.0 ,  36.4 ,  27.9 ,  81.3 ,  44.4 ,  59.1 ,  48.1 
2017,Total,Sector Terciario,Comercio,Total,Grandes,  87.7 ,  87.7 ,  72.9 ,  24.7 ,  58.4 ,  74.9 ,  88.9 ,  80.5 ,  63.4 ,  16.1 ,  64.8 ,  54.4 ,  97.3 ,  68.7 ,  80.1 ,  72.2 
2017,Total,Sector Terciario,Servicios,Total,Total,  44.8 ,  44.8 ,  36.2 ,  18.4 ,  30.8 ,  38.6 ,  75.9 ,  53.5 ,  23.1 ,  8.9 ,  23.6 ,  20.4 ,  76.4 ,  37.7 ,  53.1 ,  40.5 
