Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con ciberseguridad,Porcentaje de las empresas con ciberseguridad en plan de implementación,Porcentaje de las empresas con computación en la nube ,Porcentaje de las empresas con computación en la nube en plan de implementación,INFRAESTRUCTURA,Porcentaje de las empresas con sensores/M2M/IOT,Porcentaje de las empresas con sensores/M2M/IOT en plan de implementación,Porcentaje de las empresas con robótica,Porcentaje de las empresas con robótica en plan de implementacion,Porcentaje de las empresas con impresoras 3D,Porcentaje de las empresas con impresoras 3D en plan de implementación,Porcentaje de las empresas con realidad virtual,Porcentaje de las empresas con realidad virtual en plan de implementación,PROCESAMIENTO,Porcentaje de las empresas con Big Data,Porcentaje de las empresas con Big Data en plan de implementación,Porcentaje de las empresas con inteligencia artificial,Porcentaje de las empresas con inteligencia artificial en plan de implementación,Porcentaje de las empresas con block chain,Porcentaje de las empresas con block chain en plan de implementación, DISTRIBUCION , Calculo del Indice 
2017,Total,Total,Total,Total,Total,28.1%,12.1%,17.3%,10.2%,18,8.6%,6.4%,1.2%,3.3%,2.0%,5.3%,0.8%,4.5%,4,2.5%,5.1%,1.5%,2.6%,1.3%,3.4%,  2 ,  8 
2017,Total,Total,Total,Total,Micros,22.3%,13.6%,11.8%,9.0%,15,7.1%,6.4%,0.6%,2.7%,1.6%,5.6%,0.7%,4.0%,3,0.9%,3.0%,0.5%,2.9%,0.8%,2.9%,  1 ,  6 
2017,Total,Total,Total,Total,Pymes,32.6%,9.7%,21.7%,11.0%,20,10.4%,4.8%,1.2%,4.0%,2.2%,4.7%,0.9%,5.4%,4,3.5%,7.1%,2.0%,1.9%,1.3%,4.3%,  3 ,  9 
2017,Total,Total,Total,Total,Grandes,64.9%,10.7%,50.3%,19.9%,41,14.0%,18.2%,9.5%,6.0%,5.4%,5.4%,2.0%,5.0%,8,15.5%,15.2%,9.4%,3.8%,5.9%,2.7%,  10 ,  19 
2017,Total,Sector Primario,Total,Total,Total,15.6%,8.6%,16.2%,5.4%,12,4.7%,3.9%,1.6%,2.0%,3.2%,2.0%,0.6%,1.1%,2,2.4%,4.4%,0.8%,1.8%,0.0%,0.5%,  1 ,  5 
2017,Total,Sector Primario,Total,Total,Micros,14.6%,7.8%,7.9%,6.4%,10,3.8%,3.9%,0.0%,1.2%,0.0%,2.3%,0.0%,0.0%,1,0.0%,1.2%,0.0%,0.9%,0.0%,0.9%,  -   ,  4 
2017,Total,Sector Primario,Total,Total,Pymes,11.7%,6.7%,21.5%,3.6%,12,5.2%,3.0%,2.5%,2.2%,4.6%,2.0%,1.2%,2.3%,3,2.4%,3.9%,0.8%,2.9%,0.0%,0.1%,  1 ,  6 
2017,Total,Sector Primario,Total,Total,Grandes,45.7%,24.5%,30.2%,10.4%,30,6.4%,8.9%,5.2%,5.2%,12.9%,0.0%,0.0%,0.0%,6,15.6%,25.2%,5.2%,0.0%,0.0%,0.0%,  7 ,  14 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Total,13.0%,8.5%,18.2%,4.2%,12,2.3%,4.6%,0.8%,2.4%,2.8%,2.3%,0.8%,0.0%,2,2.9%,4.1%,1.0%,1.0%,0.0%,0.5%,  1 ,  5 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Micros,10.9%,7.6%,7.3%,3.1%,8,0.0%,5.0%,0.0%,1.5%,0.0%,2.9%,0.0%,0.0%,0,0.0%,1.5%,0.0%,1.2%,0.0%,1.2%,  -   ,  3 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Pymes,10.6%,6.0%,25.3%,3.9%,13,3.7%,3.4%,0.5%,2.6%,3.1%,2.1%,1.6%,0.0%,2,2.9%,2.1%,1.0%,1.0%,0.0%,0.0%,  1 ,  5 
2017,Total,Sector Primario,Agricultura y ganadería,Total,Grandes,37.7%,27.7%,33.7%,12.1%,29,6.0%,8.9%,6.0%,6.0%,15.0%,0.0%,0.0%,0.0%,6,18.1%,29.3%,6.0%,0.0%,0.0%,0.0%,  9 ,  15 
2017,Total,Sector Primario,Minas y canteras,Total,Total,25.7%,9.1%,8.2%,9.8%,14,14.1%,1.2%,4.8%,0.3%,5.0%,0.7%,0.0%,5.5%,5,0.3%,5.3%,0.0%,4.8%,0.0%,0.3%,  1 ,  7 
2017,Total,Sector Primario,Minas y canteras,Total,Micros,27.6%,8.8%,10.0%,18.2%,17,17.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  7 
2017,Total,Sector Primario,Minas y canteras,Total,Pymes,16.2%,9.8%,6.5%,2.6%,9,11.1%,1.5%,10.1%,0.6%,10.5%,1.5%,0.0%,11.5%,7,0.6%,11.1%,0.0%,10.1%,0.0%,0.6%,  2 ,  6 
2017,Total,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Total,Total,Total,26.9%,13.8%,15.4%,11.3%,18,11.0%,6.4%,0.5%,3.4%,2.4%,6.5%,0.8%,4.0%,4,1.8%,5.2%,0.6%,1.0%,1.4%,1.2%,  2 ,  8 
2017,Total,Sector Secundario,Total,Total,Micros,23.3%,17.6%,9.2%,9.8%,15,6.9%,9.4%,0.7%,2.7%,2.5%,7.4%,1.9%,1.7%,3,2.7%,0.2%,0.5%,2.2%,0.8%,2.0%,  1 ,  7 
